"psi.grid" "DD.PL.q" "DD.PL.psi"
"1" -0.393978171602674 -3.73570653729801 -3.48044879945753
"2" -0.389601484248314 -3.59192000508347 -3.3403408910108
"3" -0.385224796893955 -3.45095471039948 -3.20311124592768
"4" -0.380848109539595 -3.31281065316604 -3.06875986420405
"5" -0.376471422185235 -3.17748783330312 -2.93728674583582
"6" -0.372094734830876 -3.0449862507307 -2.80869189081887
"7" -0.367718047476516 -2.91530590536878 -2.68297529914908
"8" -0.363341360122157 -2.78844679713734 -2.56013697082236
"9" -0.358964672767797 -2.66440892595636 -2.44017690583459
"10" -0.354587985413438 -2.54319229174582 -2.32309510418167
"11" -0.350211298059078 -2.42479689442572 -2.20889156585949
"12" -0.345834610704719 -2.30922273391602 -2.09756629086393
"13" -0.341457923350359 -2.19646981013673 -1.98911927919089
"14" -0.337081235995999 -2.08653812300782 -1.88355053083626
"15" -0.33270454864164 -1.97942767244927 -1.78086004579593
"16" -0.32832786128728 -1.87513845925856 -1.68104782406579
"17" -0.323951173932921 -1.77367048964837 -1.58411386564174
"18" -0.319574486578561 -1.67502377189514 -1.49005817052018
"19" -0.315197799224202 -1.57919831427933 -1.39888073875272
"20" -0.310821111869842 -1.48619412508141 -1.31058157049397
"21" -0.306444424515482 -1.39601121258187 -1.22516066590981
"22" -0.302067737161123 -1.30864958506118 -1.14261802516612
"23" -0.297691049806763 -1.22410925079981 -1.06295364842878
"24" -0.293314362452404 -1.14239021807824 -0.986167535863691
"25" -0.288937675098044 -1.06349249517694 -0.912259687636721
"26" -0.284560987743685 -0.987416090376397 -0.841230103913753
"27" -0.280184300389325 -0.91416101195708 -0.773078784860678
"28" -0.275807613034966 -0.843727268199465 -0.707805730643377
"29" -0.271430925680606 -0.776114867384031 -0.645410941427724
"30" -0.267054238326247 -0.711323825879689 -0.585894417379616
"31" -0.262677550971887 -0.649354239516215 -0.529256158664929
"32" -0.258300863617527 -0.590206249224526 -0.475496165449542
"33" -0.253924176263168 -0.533879996453202 -0.424614437899352
"34" -0.249547488908808 -0.480375622650825 -0.376610976180225
"35" -0.245170801554449 -0.429693269265975 -0.331485780458061
"36" -0.240794114200089 -0.381833077747236 -0.28923885089873
"37" -0.23641742684573 -0.336795189543181 -0.249870187668124
"38" -0.23204073949137 -0.294579746102401 -0.213379790941168
"39" -0.22766405213701 -0.255186888873467 -0.179767661078483
"40" -0.223287364782651 -0.218616759304965 -0.149033798614661
"41" -0.218910677428291 -0.184869498845475 -0.121178204091007
"42" -0.214533990073932 -0.153945248943576 -0.0962008780488147
"43" -0.210157302719572 -0.125844151047852 -0.074101821029381
"44" -0.205780615365213 -0.10056634677006 -0.0548810335740169
"45" -0.201403928010853 -0.0781119804628023 -0.0385385162240125
"46" -0.197027240656494 -0.0584811987529634 -0.0250742695206828
"47" -0.192650553302134 -0.0416741483362646 -0.0144882940053052
"48" -0.188273865947774 -0.0276909759084208 -0.00678059021920674
"49" -0.183897178593415 -0.0165318281651533 -0.00195115870367196
"50" -0.179520491239055 -0.00819685180218388 0
"51" -0.175143803884696 -0.00268619351522284 -0.000927114649498406
"52" -0.170767116530336 0 -0.00473250319346336
"53" -0.166390429175977 -0.000138417952231323 -0.011416166173208
"54" -0.162013741821617 -0.00310159406763519 -0.0209781041300137
"55" -0.157637054467258 -0.00888967504192822 -0.0334183176051861
"56" -0.153260367112898 -0.0175028075708366 -0.0487368071400414
"57" -0.148883679758538 -0.0289411383500729 -0.0669335732758518
"58" -0.144506992404179 -0.0432048105808935 -0.0880086165584375
"59" -0.140130305049819 -0.0602938520178447 -0.111961937568445
"60" -0.13575361769546 -0.0802081512840452 -0.1387935369028
"61" -0.1313769303411 -0.10294758871945 -0.168503415158496
"62" -0.127000242986741 -0.128512044664018 -0.201091572932557
"63" -0.122623555632381 -0.156901399457695 -0.236558010821993
"64" -0.118246868278021 -0.188115533440441 -0.274902729423811
"65" -0.113870180923662 -0.22215432695221 -0.316125729335024
"66" -0.109493493569302 -0.259017660332948 -0.360227011152656
"67" -0.105116806214943 -0.298705413922622 -0.407206575473699
"68" -0.100740118860583 -0.341217468061171 -0.457064422895172
"69" -0.0963634315062237 -0.38655370308856 -0.509800554014093
"70" -0.0919867441518642 -0.434713999344739 -0.565414969427457
"71" -0.0876100567975046 -0.485698237169659 -0.623907669732295
"72" -0.0832333694431451 -0.539506297180736 -0.685278655525601
"73" -0.0788566820887855 -0.596138084168992 -0.749527927404406
"74" -0.074479994734426 -0.655593545515396 -0.816655485965698
"75" -0.0701033073800664 -0.71787263293621 -0.886661331806502
"76" -0.0657266200257068 -0.782975298147698 -0.959545465523824
"77" -0.0613499326713473 -0.850901492866132 -1.03530788771467
"78" -0.0569732453169877 -0.921651168807766 -1.11394859887826
"79" -0.0525965579626281 -0.995224277688876 -1.19546759917281
"80" -0.0482198706082686 -1.07162077122571 -1.27986488868228
"81" -0.043843183253909 -1.15084060113455 -1.36714046749067
"82" -0.0394664958995495 -1.23288371913165 -1.45729433568193
"83" -0.0350898085451899 -1.31775007693328 -1.55032649334004
"84" -0.0307131211908304 -1.4054396262557 -1.64623694054897
"85" -0.0263364338364708 -1.49595231881517 -1.74502567739267
"86" -0.0219597464821112 -1.58928810635058 -1.84669270395515
"87" -0.0175830591277517 -1.68544695208539 -1.95123802032034
"88" -0.0132063717733921 -1.78442884937893 -2.05866162657223
