"psi.grid" "DD.PL.q" "DD.PL.B" "DD.PL.ana"
"1" 3.85808664071774 -2.3593407668412 -3.28095155701394 -2.41399411014379
"2" 3.86252962605255 -2.26733409910378 -3.14734847853035 -2.31256127304681
"3" 3.86697261138737 -2.17715727704521 -3.01652226182951 -2.21346133783896
"4" 3.87141559672218 -2.08881030038828 -2.8884729069633 -2.11668348381825
"5" 3.875858582057 -2.00229316885576 -2.76320041400435 -2.02221694949797
"6" 3.88030156739181 -1.91760588217043 -2.64070478302533 -1.93005103362917
"7" 3.88474455272662 -1.83474844005507 -2.52098601409895 -1.84017509477941
"8" 3.88918753806144 -1.75372084223247 -2.40404410729789 -1.75257855090214
"9" 3.89363052339625 -1.6745230884254 -2.28987906269483 -1.66725087891867
"10" 3.89807350873107 -1.59715517835664 -2.17849088036247 -1.58418161429866
"11" 3.90251649406588 -1.52161711174898 -2.06987956037348 -1.50336035068086
"12" 3.90695947940069 -1.4479088883252 -1.96404510280057 -1.42477673931971
"13" 3.91140246473551 -1.37603050780807 -1.86098750771641 -1.34842049264658
"14" 3.91584545007032 -1.30598196992037 -1.7607067751937 -1.27428138286034
"15" 3.92028843540514 -1.23776327438488 -1.66320290530511 -1.20234923279169
"16" 3.92473142073995 -1.17137442045411 -1.56847589812335 -1.13261392131039
"17" 3.92917440607477 -1.10681540447833 -1.47652575372109 -1.06506538302506
"18" 3.93361739140958 -1.04408622170179 -1.38735247217103 -0.999693607895964
"19" 3.93806037674439 -0.983186867366551 -1.30095605354585 -0.936488640845852
"20" 3.94250336207921 -0.924117336714686 -1.21733649791825 -0.875440581374903
"21" 3.94694634741402 -0.866877624988268 -1.13649380536089 -0.816539583180898
"22" 3.95138933274884 -0.811467727429363 -1.05842797594649 -0.759775853779573
"23" 3.95583231808365 -0.757887639280042 -0.983139009747719 -0.70513965445555
"24" 3.96027530341847 -0.706137355782377 -0.910626906930133 -0.652621303215682
"25" 3.96471828875328 -0.656216872178436 -0.840891669107089 -0.602211168335117
"26" 3.96916127408809 -0.608126183710286 -0.773933299037075 -0.55389966919013
"27" 3.97360425942291 -0.561865285620002 -0.70975179950984 -0.50767727730603
"28" 3.97804724475772 -0.51743417314965 -0.648347173315142 -0.46353451564994
"29" 3.98249023009254 -0.474832841541303 -0.589719423242732 -0.42146195858659
"30" 3.98693321542735 -0.434061285678754 -0.533868552082374 -0.381450231365051
"31" 3.99137620076216 -0.395119496926144 -0.480794562623819 -0.343490009801769
"32" 3.99581918609698 -0.358007464649868 -0.430497457656821 -0.30757201993282
"33" 4.00026217143179 -0.322725178193411 -0.382977239971138 -0.273687037669362
"34" 4.00470515676661 -0.289272626900243 -0.33823391235652 -0.241825892428025
"35" 4.00914814210142 -0.257649800113857 -0.296267477602737 -0.211979501226693
"36" 4.01359112743624 -0.227856687177713 -0.257077938499527 -0.184138801590777
"37" 4.01803411277105 -0.199893277435305 -0.220665297836661 -0.158294768869453
"38" 4.02247709810587 -0.173759560230094 -0.187029558403883 -0.134438426662356
"39" 4.02692008344068 -0.149455524905571 -0.156170722990956 -0.112560846493153
"40" 4.03136306877549 -0.126981160805209 -0.128088794387638 -0.0926531474782166
"41" 4.03580605411031 -0.106336457272479 -0.102783775383676 -0.07470649600549
"42" 4.04024903944512 -0.0875214036508682 -0.0802556687688316 -0.0587121093107754
"43" 4.04469202477994 -0.0705359892838485 -0.0605044773328566 -0.0446612532465309
"44" 4.04913501011475 -0.0553802037317573 -0.0435302038655129 -0.0325452354079232
"45" 4.05357799544956 -0.0420540401974249 -0.0293328511574571 -0.0223554094334446
"46" 4.05802098078438 -0.0305574949061223 -0.0179124220494922 -0.0140831796380496
"47" 4.06246396611919 -0.0208905641745973 -0.0092689194575884 -0.00772000902149728
"48" 4.06690695145401 -0.0130532443196081 -0.00340234630393066 -0.00325739062375874
"49" 4.07134993678882 -0.00704553165789856 -0.000312705510675582 -0.000686860682250767
"50" 4.07579292212364 -0.00286742250622879 0 0
"51" 4.08023590745845 -0.000518913181345226 -0.00246423269405904 -0.00118843365135035
"52" 4.08467889279326 0 -0.00770540651503537 -0.00424383068282452
"53" 4.08912187812808 -0.00131067927895068 -0.0157235243850911 -0.00915790382158832
"54" 4.09356486346289 -0.00445094733494167 -0.0265185892263944 -0.0159224091843129
"55" 4.09800784879771 -0.00942080048473043 -0.0400906039611187 -0.0245291430890546
"56" 4.10245083413252 -0.0162202350450673 -0.0564395715114286 -0.0349699437175843
"57" 4.10689381946734 -0.0248492473327028 -0.0755654947994925 -0.0472366950772738
"58" 4.11133680480215 -0.0353078337621779 -0.0974683767474799 -0.0613213234114198
"59" 4.11577979013696 -0.0475959939786942 -0.122148220277563 -0.0772157969077512
"60" 4.12022277547178 -0.06171373152089 -0.149605028311899 -0.0949121254218994
"61" 4.12466576080659 -0.0776610501592069 -0.179838803772667 -0.114402360203172
"62" 4.12910874614141 -0.0954379536640941 -0.212849549582038 -0.135678593607707
"63" 4.13355173147622 -0.115044445805979 -0.248637268662173 -0.158732958737502
"64" 4.13799471681103 -0.136480530355318 -0.287201963935242 -0.183557629034993
"65" 4.14243770214585 -0.159746211082533 -0.328543638323415 -0.210144818552948
"66" 4.14688068748066 -0.184841491758085 -0.372662294748407 -0.238486781409264
"67" 4.15132367281548 -0.211766376152397 -0.419557935549261 -0.26857581150351
"68" 4.15576665815029 -0.240520868035925 -0.469230561341259 -0.300394862416184
"69" 4.16020964348511 -0.271104971179095 -0.521680172422384 -0.333955094214488
"70" 4.16465262881992 -0.303518689352363 -0.576906769090656 -0.369239518002132
"71" 4.16909561415473 -0.337762026326152 -0.634910351644055 -0.406240584627668
"72" 4.17353859948955 -0.373834985865479 -0.695690920380609 -0.444950783449073
"73" 4.17798158482436 -0.411737571261111 -0.759248475598299 -0.485362642083388
"74" 4.18242457015918 -0.451469784968345 -0.825583017595149 -0.527468726156258
"75" 4.18686755549399 -0.493031629357412 -0.894694546669127 -0.571261639055678
"76" 4.19131054082881 -0.536423106798568 -0.966583063118279 -0.616734021688245
"77" 4.19575352616362 -0.581644219662044 -1.04124856724057 -0.663878552232305
"78" 4.20019651149843 -0.628694970318093 -1.11869105933403 -0.71268794590101
"79" 4.20463949683325 -0.677575361136942 -1.19891053969664 -0.763154954697995
"80" 4.20908248216806 -0.728285394488851 -1.28190700862642 -0.815272367184505
"81" 4.21352546750288 -0.780825072744043 -1.36768046642136 -0.869033008239015
"82" 4.21796845283769 -0.83519439827277 -1.45623091337946 -0.924429738826916
