"psi.grid" "DD.PL.q" "DD.PL.psi"
"1" 440.643464632356 -3.78074673456839 -3.43184214592597
"2" 443.420094793143 -3.59480515361815 -3.26671202062527
"3" 446.196724953931 -3.41355200073106 -3.10565326837927
"4" 448.973355114718 -3.2369872758087 -2.94866588838707
"5" 451.749985275506 -3.06511097875262 -2.79574987984775
"6" 454.526615436293 -2.89792310946441 -2.6469052419604
"7" 457.303245597081 -2.73542366784562 -2.50213197392408
"8" 460.079875757868 -2.57761265379783 -2.36143007493789
"9" 462.856505918656 -2.42449006722261 -2.22479954420092
"10" 465.633136079443 -2.27605590802151 -2.09224038091224
"11" 468.409766240231 -2.13231017609612 -1.96375258427093
"12" 471.186396401018 -1.99325287134799 -1.83933615347609
"13" 473.963026561806 -1.8588839936787 -1.7189910877268
"14" 476.739656722593 -1.72920354298982 -1.60271738622213
"15" 479.51628688338 -1.60421151918291 -1.49051504816118
"16" 482.292917044168 -1.48390792105713 -1.38238407274301
"17" 485.069547204955 -1.3682927406083 -1.27832445916674
"18" 487.846177365743 -1.25736596723954 -1.17833620663142
"19" 490.62280752653 -1.15112759034887 -1.08241931433614
"20" 493.399437687318 -1.04957759933428 -0.99057378147999
"21" 496.176067848105 -0.952715983593791 -0.902799607261943
"22" 498.952698008893 -0.860542732525414 -0.819096787981073
"23" 501.72932816968 -0.773057835527156 -0.739465309478437
"24" 504.505958330468 -0.690261281997027 -0.663905155238412
"25" 507.282588491255 -0.612153061333039 -0.592416308745359
"26" 510.059218652043 -0.538733162933201 -0.524998753483634
"27" 512.83584881283 -0.47000157619552 -0.461652472937607
"28" 515.612478973618 -0.405958290518009 -0.402377450591661
"29" 518.389109134405 -0.34660329529868 -0.347173669930129
"30" 521.165739295193 -0.291936574007266 -0.296041114437407
"31" 523.94236945598 -0.241958051874151 -0.248979767597841
"32" 526.718999616768 -0.196667621073669 -0.205989612895812
"33" 529.495629777555 -0.156065173400738 -0.167070633815667
"34" 532.272259938343 -0.120150600650288 -0.132222813841788
"35" 535.04889009913 -0.0889237946172344 -0.101446136458536
"36" 537.825520259918 -0.0623846470965055 -0.0747405851502704
"37" 540.602150420705 -0.0405330498830227 -0.0521061434013711
"38" 543.378780581492 -0.0233688947717054 -0.0335427946961886
"39" 546.15541074228 -0.0108920735574815 -0.0190505225190936
"40" 548.932040903067 -0.00310247803527416 -0.00862931035445214
"41" 551.708671063855 0 -0.00227914168663579
"42" 554.485301224642 -0.00158453124658683 0
"43" 557.26193138543 -0.00785596356995816 -0.00179186877891746
"44" 560.038561546217 -0.0188141888643611 -0.00765473150775225
"45" 562.815191707005 -0.0344591006924219 -0.0175885716708695
"46" 565.591821867792 -0.0547905940011521 -0.0315933727526316
"47" 568.36845202858 -0.0798085637794418 -0.0496691182374134
"48" 571.145082189367 -0.109512905016203 -0.0718157920209946
"49" 573.921712350155 -0.143903512700327 -0.098033379782859
"50" 576.698342510942 -0.182980281820725 -0.128321867685759
"51" 579.47497267173 -0.226743107366296 -0.162681241892438
"52" 582.251602832517 -0.275191884325939 -0.201111488565664
"53" 585.028232993305 -0.32832650768856 -0.243612593868177
"54" 587.804863154092 -0.38614687244306 -0.290184543962736
"55" 590.58149331488 -0.448652873578348 -0.340827325012085
"56" 593.358123475667 -0.515844406083314 -0.395540923179009
"57" 596.134753636455 -0.587721364946868 -0.454325324626224
"58" 598.911383797242 -0.664283646373073 -0.517180515516507
"59" 601.68801395803 -0.745531186711277 -0.584106482012603
"60" 604.464644118817 -0.831463970692197 -0.655103210277274
"61" 607.241274279604 -0.922081985926935 -0.730170686473252
"62" 610.017904440392 -1.0173852200266 -0.80930889676332
"63" 612.794534601179 -1.11737366060228 -0.892517827310205
"64" 615.571164761967 -1.22204729526508 -0.979797464276688
"65" 618.347794922754 -1.3314061116261 -1.0711477938255
"66" 621.124425083542 -1.44545009729644 -1.16656880211941
"67" 623.901055244329 -1.5641792398872 -1.26606047532116
"68" 626.677685405117 -1.68759352700949 -1.36962279959351
"69" 629.454315565904 -1.8156929462744 -1.47725576109922
"70" 632.230945726692 -1.94847748529303 -1.58895934600101
"71" 635.007575887479 -2.0859471316765 -1.7047335404617
"72" 637.784206048267 -2.22810187308408 -1.82457833064397
"73" 640.560836209054 -2.37494170137518 -1.94849370271063
"74" 643.337466369842 -2.52646661580905 -2.07647964453559
"75" 646.114096530629 -2.68267661639815 -2.20853615292237
"76" 648.890726691417 -2.84357170315496 -2.34466322757786
"77" 651.667356852204 -3.00915187609197 -2.48486086821044
"78" 654.443987012992 -3.17941713522166 -2.62912907452849
"79" 657.220617173779 -3.3543674805565 -2.77746784624043
"80" 659.997247334567 -3.53400291210898 -2.92987718305465
"81" 662.773877495354 -3.71832342989158 -3.0863570846795
"82" 665.550507656141 -3.90732903391679 -3.24690755082345
"83" 668.327137816929 -4.10101972419707 -3.41152858119485
"84" 671.103767977716 -4.2993955007449 -3.58022017550211
"85" 673.880398138504 -4.50245636357278 -3.75298233345361
"86" 676.657028299291 -4.71020231269317 -3.92981505475777
"87" 679.433658460079 -4.92263334811553 -4.11071833912296
"88" 682.210288620866 -5.13974946984136 -4.29569218625759
