"psi.grid" "DD.PL.q" "Analytical.PL"
"1" 1.60392380284868 -0.911670344053723 -1.85642776645051
"2" 1.61662563587996 -0.886588623374421 -1.74741577132011
"3" 1.62932746891124 -0.861609057391642 -1.6427974074922
"4" 1.64202930194251 -0.836732130830662 -1.54245402765122
"5" 1.65473113497379 -0.811958328416756 -1.44626206045587
"6" 1.66743296800506 -0.787288134875197 -1.35410880725146
"7" 1.68013480103634 -0.762722034931262 -1.26588266307249
"8" 1.69283663406762 -0.738260513310225 -1.18147617109395
"9" 1.70553846709889 -0.71390405473736 -1.10078591607186
"10" 1.71824030013017 -0.689653143937942 -1.02371086616722
"11" 1.73094213316144 -0.665508265637246 -0.95015407936944
"12" 1.74364396619272 -0.641469904560548 -0.880020570528814
"13" 1.756345799224 -0.617538545433121 -0.813219278100576
"14" 1.76904763225527 -0.59371467298024 -0.749661227337015
"15" 1.78174946528655 -0.56999877192718 -0.689264414261515
"16" 1.79445129831782 -0.546391778147824 -0.631941499899767
"17" 1.8071531313491 -0.522897411687783 -0.577612508289576
"18" 1.81985496438038 -0.499520453627357 -0.526201028733965
"19" 1.83255679741165 -0.476265687135497 -0.47763110520674
"20" 1.84525863044293 -0.453137895381154 -0.43182977689554
"21" 1.8579604634742 -0.430141861533279 -0.388724385096225
"22" 1.87066229650548 -0.407282368760822 -0.348246975419158
"23" 1.88336412953676 -0.384564200232735 -0.310329694385359
"24" 1.89606596256803 -0.361992139117967 -0.274910417344813
"25" 1.90876779559931 -0.33957096858547 -0.241922552013307
"26" 1.92146962863058 -0.317305471804196 -0.211306433618915
"27" 1.93417146166186 -0.295200431943093 -0.183001444328909
"28" 1.94687329469314 -0.273260632171114 -0.15695336292282
"29" 1.95957512772441 -0.251490855657209 -0.133101181553172
"30" 1.97227696075569 -0.229902913919334 -0.111396820340815
"31" 1.98497879378696 -0.208577664976065 -0.0917784472321728
"32" 1.99768062681824 -0.187635156920031 -0.0742036083183848
"33" 2.01038245984952 -0.167195887658195 -0.0586181403214709
"34" 2.02308429288079 -0.14738035509752 -0.0449709405792191
"35" 2.03578612591207 -0.128309057144972 -0.0332664440418853
"36" 2.04848795894335 -0.110102491707512 -0.0233179869534297
"37" 2.06118979197462 -0.0928811566921041 -0.015218099649644
"38" 2.0738916250059 -0.0767655500057144 -0.00887804770042067
"39" 2.08659345803717 -0.0618761695553041 -0.00425540392819812
"40" 2.09929529106845 -0.0483335132478382 -0.00130932663591921
"41" 2.11199712409973 -0.0362580789902794 0
"42" 2.124698957131 -0.0257703646895926 -0.000287493680389161
"43" 2.13740079016228 -0.0169908682527408 -0.0021344671300767
"44" 2.15010262319355 -0.0100344964677046 -0.00551195796367665
"45" 2.16280445622483 -0.00492224279579734 -0.0103651294828637
"46" 2.17550628925611 -0.00159717447750687 -0.0166745857270598
"47" 2.18820812228738 0 -0.0244025383069015
"48" 2.20090995531866 -7.14278504430066e-05 -0.0335144450838243
"49" 2.21361178834993 -0.00175216651600357 -0.0439800554573822
"50" 2.22631362138121 -0.00498292448384716 -0.0557654700625108
"51" 2.23901545441249 -0.00970441024114177 -0.0688426763884422
"52" 2.25171728744376 -0.0158573322750527 -0.0831774816638244
"53" 2.26441912047504 -0.0233823990727488 -0.0987466929403809
"54" 2.27712095350631 -0.0322203191213948 -0.115519009954482
"55" 2.28982278653759 -0.0423118009081582 -0.133466101585725
"56" 2.30252461956887 -0.0535975529202055 -0.15256136932021
"57" 2.31522645260014 -0.0660182836447043 -0.172778688401365
"58" 2.32792828563142 -0.0795153658206922 -0.194092194005236
"59" 2.34063011866269 -0.0940521171008789 -0.216476389500144
"60" 2.35333195169397 -0.10961830220322 -0.239909229685054
"61" 2.36603378472525 -0.126205260368624 -0.264366273778762
"62" 2.37873561775652 -0.143804330838 -0.289821761908399
"63" 2.3914374507878 -0.162406852852255 -0.316253872060827
"64" 2.40413928381908 -0.182004165652301 -0.343644720665452
"65" 2.41684111685035 -0.202587608479045 -0.371967578745057
"66" 2.42954294988163 -0.224148520573395 -0.401201579237238
"67" 2.4422447829129 -0.246678241176262 -0.431330585414855
"68" 2.45494661594418 -0.270168109528553 -0.462328451486144
"69" 2.46764844897546 -0.294609464871177 -0.494183636484024
"70" 2.48035028200673 -0.319993646445043 -0.526869333230991
"71" 2.49305211503801 -0.34631199349106 -0.560369862592097
"72" 2.50575394806928 -0.373558925235723 -0.594669294815617
"73" 2.51845578110056 -0.401997204649621 -0.629745699247735
"74" 2.53115761413184 -0.432362372490656 -0.665584202395564
"75" 2.54385944716311 -0.465438094291491 -0.702167492792057
"76" 2.55656128019439 -0.502008035584789 -0.739478534441389
"77" 2.56926311322566 -0.54285586190322 -0.777501147982036
"78" 2.58196494625694 -0.588765238779444 -0.777501147982036
"79" 2.59466677928822 -0.640519831746129 -0.777501147982036
"80" 2.60736861231949 -0.698903306335936 -0.777501147982036
"81" 2.62007044535077 -0.764699328081537 -0.777501147982036
"82" 2.63277227838204 -0.838691562515591 -0.977750167471925
"83" 2.64547411141332 -0.921663675170763 -1.01972539503026
"84" 2.6581759444446 -1.01439933157972 -1.06230860430287
"85" 2.67087777747587 -1.11768219727513 -1.10548594615312
"86" 2.68357961050715 -1.23229585139031 -1.14924483403109
"87" 2.69628144353842 -1.35897998219074 -1.19357248073248
"88" 2.7089832765697 -1.49835910761358 -1.2384562259399
"89" 2.72168510960098 -1.65103908333719 -1.28388395924424
"90" 2.73438694263225 -1.81762576503993 -1.32984382062659
"91" 2.74708877566353 -1.99872500840019 -1.37632320610362
