"psi.grid" "DD.PL.q" "Analytical.PL"
"1" 0.740582790134628 -3.55360532205117 -3.09332022723186
"2" 0.753126767467116 -3.31198218975598 -2.85399472667581
"3" 0.765670744799605 -3.07860886328372 -2.62933369335661
"4" 0.778214722132093 -2.85361848199383 -2.41851289747595
"5" 0.790758699464581 -2.63714418524575 -2.22077878207955
"6" 0.80330267679707 -2.42931911239892 -2.03540948431694
"7" 0.815846654129558 -2.23027640281278 -1.86174457410107
"8" 0.828390631462046 -2.04014919584677 -1.69916064265283
"9" 0.840934608794535 -1.85907063086032 -1.54707285031944
"10" 0.853478586127023 -1.68717384721289 -1.40493779243255
"11" 0.866022563459511 -1.5245919842639 -1.27224264289643
"12" 0.878566540792 -1.3714581813728 -1.14850680864905
"13" 0.891110518124488 -1.22790557789903 -1.0332799505824
"14" 0.903654495456976 -1.09406731320203 -0.926136343094697
"15" 0.916198472789465 -0.97007652664124 -0.826678443403239
"16" 0.928742450121953 -0.856004084887389 -0.734530639602838
"17" 0.941286427454441 -0.75153655139803 -0.649338788622202
"18" 0.953830404786929 -0.656214033492466 -0.570768614347429
"19" 0.966374382119418 -0.569576350190505 -0.498506962707921
"20" 0.978918359451906 -0.491163320511962 -0.432255054261191
"21" 0.991462336784394 -0.420514763476646 -0.371733279829101
"22" 1.00400631411688 -0.357170498104373 -0.316675168780762
"23" 1.01655029144937 -0.300670343414957 -0.266830671566765
"24" 1.02909426878186 -0.250554118428207 -0.221962063980271
"25" 1.04163824611435 -0.206361642163938 -0.181843363341073
"26" 1.05418222344684 -0.167632733641961 -0.146262010685007
"27" 1.06672620077932 -0.133907211882089 -0.115015916971089
"28" 1.07927017811181 -0.104724895904138 -0.0879133147481639
"29" 1.0918141554443 -0.0796256047279161 -0.0647715980255725
"30" 1.10435813277679 -0.0581737183344323 -0.045418106024016
"31" 1.11690211010928 -0.0401749035874693 -0.0296888206586061
"32" 1.12944608744177 -0.0255717792704328 -0.0174272014638461
"33" 1.14199006477425 -0.0143085360682454 -0.008485150140217
"34" 1.15453404210674 -0.00632936466583295 -0.00272081525520207
"35" 1.16707801943923 -0.00157845574810908 0
"36" 1.17962199677172 0 -0.000194674383948268
"37" 1.19216597410421 -0.00153818810643039 -0.00318221433630583
"38" 1.2047099514367 -0.0061372107523146 -0.00884690385203157
"39" 1.21725392876918 -0.0137412586225802 -0.0170771392634492
"40" 1.22979790610167 -0.0242945224021441 -0.0277676218802299
"41" 1.24234188343416 -0.0377411927759328 -0.040816977906303
"42" 1.25488586076665 -0.0540254604288695 -0.0561287294760007
"43" 1.26742983809914 -0.0730915160458705 -0.0736105270644885
"44" 1.27997381543163 -0.0948800613967089 -0.0931748759868469
"45" 1.29251779276411 -0.119273195379455 -0.114737192873008
"46" 1.3050617700966 -0.14610439013727 -0.138217122733579
"47" 1.31760574742909 -0.175205645927214 -0.163537706805926
"48" 1.33014972476158 -0.206408963006349 -0.190625107167961
"49" 1.34269370209407 -0.239546341631751 -0.219409234294091
"50" 1.35523767942656 -0.274449782060486 -0.249822488290903
"51" 1.36778165675904 -0.310951284549619 -0.281799585961522
"52" 1.38032563409153 -0.348882849356224 -0.315279810322494
"53" 1.39286961142402 -0.388076476737356 -0.350202277790572
"54" 1.40541358875651 -0.428364166950097 -0.386511618921872
"55" 1.417957566089 -0.469577920251501 -0.424152098349538
"56" 1.43050154342149 -0.511549736898646 -0.463071940090657
"57" 1.44304552075397 -0.554111617148601 -0.503220912892402
"58" 1.45558949808646 -0.597099341230362 -0.544550579225756
"59" 1.46813347541895 -0.640473568445955 -0.587015027339106
"60" 1.48067745275144 -0.684345456980191 -0.630569743028133
"61" 1.49322143008393 -0.728835124951392 -0.675171097422322
"62" 1.50576540741642 -0.774062690477865 -0.720779597992532
"63" 1.5183093847489 -0.820148271677933 -0.767354954819496
"64" 1.53085336208139 -0.867211986669917 -0.81485951206696
"65" 1.54339733941388 -0.915373953572114 -0.863256793223854
"66" 1.55594131674637 -0.964754290502852 -0.912512243067454
"67" 1.56848529407886 -1.01547311558045 -0.962591051967507
"68" 1.58102927141134 -1.06765054692321 -1.01346195902028
"69" 1.59357324874383 -1.12140670264944 -1.06509335633277
"70" 1.60611722607632 -1.17686170087748 -1.11745533594811
"71" 1.61866120340881 -1.23413565972564 -1.1705187469766
"72" 1.6312051807413 -1.29335134846406 -1.22425589776526
"73" 1.64374915807379 -1.35486251796598 -1.27864025855379
"74" 1.65629313540627 -1.41942987091044 -1.33364521351413
"75" 1.66883711273876 -1.48785553422379 -1.38924737956177
"76" 1.68138109007125 -1.56094163483239 -1.44542072801306
"77" 1.69392506740374 -1.63949029966259 -1.50214391637934
"78" 1.70646904473623 -1.72430365564074 -1.55939443908304
"79" 1.71901302206872 -1.8161838296932 -1.61714982765963
"80" 1.7315569994012 -1.91593294874631 -1.67539020369173
"81" 1.74410097673369 -2.02435313972645 -1.73409536212682
"82" 1.75664495406618 -2.14224652955996 -1.79324632642033
"83" 1.76918893139867 -2.27041524517318 -1.85282406082263
"84" 1.78173290873116 -2.40966141349249 -1.91281089894559
"85" 1.79427688606365 -2.56078716144424 -1.97318927191833
"86" 1.80682086339613 -2.72459431826254 -2.03394317276749
"87" 1.81936484072862 -2.90173348553374 -2.09505556130958
"88" 1.83190881806111 -3.09245844111476 -2.15651146279887
"89" 1.8444527953936 -3.29695866134305 -2.21829596619185
"90" 1.85699677272609 -3.51542362255597 -2.28039425804829
"91" 1.86954075005858 -3.74804280109095 -2.34279140864811
"92" 1.88208472739106 -3.9950056732854 -2.40547564313997
