"psi.grid" "DD.PL.q" "DD.PL.psi" "Analytical.PL"
"1" 0.199804543425745 -3.03507831227209 -3.39023519908256 -3.60022637813153
"2" 0.202175225363395 -2.91121747830821 -3.26265632622777 -3.45873521960112
"3" 0.204545907301045 -2.78993670731566 -3.13688619383047 -3.31958630509015
"4" 0.206916589238695 -2.67123599913946 -3.01292515086505 -3.18280173815739
"5" 0.209287271176344 -2.55511535362461 -2.89077354630593 -3.04841589130693
"6" 0.211657953113994 -2.44157477061616 -2.77043172912751 -2.91644596768462
"7" 0.214028635051644 -2.33061424995911 -2.6519000483042 -2.78692468726279
"8" 0.216399316989294 -2.22223379149847 -2.5351788528104 -2.65988109414688
"9" 0.218769998926943 -2.11643339507928 -2.42026849162053 -2.53534595922201
"10" 0.221140680864593 -2.01321306054655 -2.30717245399269 -2.41337084721759
"11" 0.223511362802243 -1.9125727877453 -2.19593513708242 -2.29397181277803
"12" 0.225882044739893 -1.81451257652055 -2.08662958302985 -2.17720340879414
"13" 0.228252726677543 -1.71903242671731 -1.97932942362967 -2.06308967136265
"14" 0.230623408615192 -1.6261323381806 -1.87410829067661 -1.95168123956023
"15" 0.232994090552842 -1.53581231075546 -1.77103981596537 -1.84301184312096
"16" 0.235364772490492 -1.44807234409384 -1.67019763129066 -1.73712460502922
"17" 0.237735454428142 -1.36291243665646 -1.57165536844719 -1.63405981893642
"18" 0.240106136365791 -1.28033258644999 -1.47548665922968 -1.53386149116204
"19" 0.242476818303441 -1.20033279148025 -1.38176513543283 -1.43656127873063
"20" 0.244847500241091 -1.12291304975303 -1.29056442885135 -1.34221443417114
"21" 0.247218182178741 -1.04807335927414 -1.20195817127996 -1.25084742825825
"22" 0.24958886411639 -0.975813718049372 -1.11601999451336 -1.16250504362107
"23" 0.25195954605404 -0.906134124084535 -1.03282353034626 -1.07722115293314
"24" 0.25433022799169 -0.839034575385427 -0.952442410573375 -0.995035927881494
"25" 0.25670090992934 -0.774515069957848 -0.874950266989415 -0.915985494475081
"26" 0.259071591866989 -0.712575605807603 -0.800420731389087 -0.840097919694237
"27" 0.261442273804639 -0.653216180940494 -0.728927435567105 -0.767404820090055
"28" 0.263812955742289 -0.596436793362318 -0.66054401131818 -0.697934902921685
"29" 0.266183637679939 -0.542237441078882 -0.59534409043702 -0.631712547188781
"30" 0.268554319617588 -0.490618120772674 -0.533401304718332 -0.568764432799171
"31" 0.270925001555238 -0.441578816126056 -0.47478928595683 -0.509109416940702
"32" 0.273295683492888 -0.395119503442643 -0.419581665947221 -0.452762294108817
"33" 0.275666365430538 -0.351240158941348 -0.367852076484222 -0.39973951114585
"34" 0.278037047368188 -0.309940758841094 -0.319674124251919 -0.350046266490161
"35" 0.280407729305837 -0.271221279360799 -0.275092920394165 -0.303694496986568
"36" 0.282778411243487 -0.235081696719383 -0.234070353439869 -0.260684350423617
"37" 0.285149093181137 -0.201521987135766 -0.19655320023393 -0.221017231960532
"38" 0.287519775118787 -0.17054212682887 -0.162488237621234 -0.184682195245487
"39" 0.289890457056436 -0.14214209201761 -0.131822242446683 -0.151679532975214
"40" 0.292261138994086 -0.116321858920911 -0.104501991555171 -0.121990050976994
"41" 0.294631820931736 -0.0930814037576883 -0.0804742617915925 -0.0955994455639537
"42" 0.297002502869386 -0.0724207027468627 -0.0596858300008509 -0.0724866503960646
"43" 0.299373184807035 -0.0543397321073551 -0.0420834730278328 -0.0526284818361784
"44" 0.301743866744685 -0.0388384658288301 -0.0276139677174386 -0.0359964710965288
"45" 0.304114548682335 -0.0259168404564476 -0.0162240909145638 -0.0225593827085619
"46" 0.306485230619985 -0.0155747614651449 -0.00786061946410144 -0.0122813623496576
"47" 0.308855912557634 -0.00781213338938455 -0.00247033021094539 -0.00512403524661575
"48" 0.311226594495284 -0.00262886076362875 0 -0.00104546102912817
"49" 0.313597276432934 -2.48481223457386e-05 -0.000396405676156342 0
"50" 0.315967958370584 0 -0.0036063240843115 -0.00194129104313756
"51" 0.318338640308233 -0.0025542209310562 -0.00957653206935666 -0.00681672896100505
"52" 0.320709322245883 -0.00768741544998078 -0.0182538064761957 -0.0145734987734825
"53" 0.323080004183533 -0.0153994880912415 -0.0295849241497135 -0.0251557777612534
"54" 0.325450686121183 -0.0256903433892958 -0.0435166619348136 -0.0385063723282286
"55" 0.327821368058833 -0.0385598858786171 -0.0599957966763921 -0.0545629989899901
"56" 0.330192049996482 -0.0540080200936654 -0.0789691052193434 -0.0732667456231422
"57" 0.332562731934132 -0.0720346505689057 -0.100383364408558 -0.094553229851515
"58" 0.334933413871782 -0.0926396822967458 -0.124185351088943 -0.118359520042471
"59" 0.337304095809432 -0.115823035398599 -0.150322039029221 -0.144615980230363
"60" 0.339674777747081 -0.141584648228682 -0.178743648953134 -0.17326025492393
"61" 0.342045459684731 -0.16992446022672 -0.209403064231145 -0.204223223367345
"62" 0.344416141622381 -0.200842410832428 -0.242253246852066 -0.237438363868398
"63" 0.346786823560031 -0.234338439485527 -0.277247158804726 -0.272836825472012
"64" 0.34915750549768 -0.270412485625728 -0.314337762077941 -0.310348905678088
"65" 0.35152818743533 -0.309064488692756 -0.35347801866053 -0.349911056802691
"66" 0.35389886937298 -0.350294388126324 -0.394620890541323 -0.391451947088577
"67" 0.35626955131063 -0.39410212336615 -0.437719339709127 -0.434907816124583
"68" 0.358640233248279 -0.440487633851955 -0.482726328152762 -0.480207954270503
"69" 0.361010915185929 -0.489450859023452 -0.52959481786106 -0.527286568873965
"70" 0.363381597123579 -0.54099173832036 -0.57827777082283 -0.57608229861135
