"psi.grid" "DD.PL.q" "DD.PL.psi" "Analytical.PL"
"1" 0.324712380620903 -3.59638275927073 -4.11028060630608 -3.89300784709791
"2" 0.325789151023385 -3.45269021946032 -3.95047661799887 -3.74121453387426
"3" 0.326865921425867 -3.31192685914631 -3.7938410335172 -3.59219707283044
"4" 0.327942691828348 -3.1740926783254 -3.64037385288223 -3.44600845143712
"5" 0.32901946223083 -3.03918767699421 -3.49007507611507 -3.30265753490893
"6" 0.330096232633312 -2.90721185514944 -3.34294470323687 -3.1621431851408
"7" 0.331173003035793 -2.77816521278773 -3.19898273426875 -3.02450397720305
"8" 0.332249773438275 -2.65204774990576 -3.05818916923186 -2.88975852546742
"9" 0.333326543840756 -2.52885946650017 -2.92056400815051 -2.75791971659519
"10" 0.334403314243238 -2.40860036256765 -2.78610725123095 -2.62902717060285
"11" 0.33548008464572 -2.29127043810484 -2.6548188989561 -2.50307109299087
"12" 0.336556855048201 -2.17686969310841 -2.52669895183212 -2.38007522254218
"13" 0.337633625450683 -2.06539812757502 -2.40174741036515 -2.26005696692496
"14" 0.338710395853165 -1.95685574150134 -2.27996427506133 -2.14303738851402
"15" 0.339787166255646 -1.85124253488404 -2.16134954642682 -2.02903365206646
"16" 0.340863936658128 -1.7485585077205 -2.04590322496776 -1.91803627623791
"17" 0.341940707060609 -1.64880366001275 -1.93362531119029 -1.81009942575937
"18" 0.343017477463091 -1.55197799176453 -1.82451580560055 -1.70519519647693
"19" 0.344094247865573 -1.4580815029796 -1.7185747087047 -1.60336177103714
"20" 0.345171018268054 -1.36711419366172 -1.61580202100889 -1.50461242387138
"21" 0.346247788670536 -1.27907606381463 -1.51619774301924 -1.40894215490241
"22" 0.347324559073018 -1.19396711344211 -1.41976187524192 -1.3163793430161
"23" 0.348401329475499 -1.1117873425479 -1.32649441818307 -1.22692101082799
"24" 0.349478099877981 -1.03253675113577 -1.23639537234883 -1.14057983043623
"25" 0.350554870280463 -0.956215339209461 -1.14946473824534 -1.05736283000916
"26" 0.351631640682944 -0.882823106772742 -1.06570251637875 -0.9772798595145
"27" 0.352708411085426 -0.812360053829364 -0.985108707255218 -0.900342027917016
"28" 0.353785181487907 -0.744826180383087 -0.907683311380881 -0.826550215589823
"29" 0.354861951890389 -0.680221486437667 -0.833426329335892 -0.755907099474534
"30" 0.355938722292871 -0.618545971972685 -0.762337761960949 -0.688421535042838
"31" 0.357015492695352 -0.55979963673031 -0.694417610154085 -0.624095416379049
"32" 0.358092263097834 -0.503982480317912 -0.629665874813327 -0.562937987479298
"33" 0.359169033500316 -0.451094502341345 -0.568082556836712 -0.504943648612127
"34" 0.360245803902797 -0.401135702406444 -0.50966765712225 -0.450118526583768
"35" 0.361322574305279 -0.354106080119057 -0.454421176567993 -0.398458872462779
"36" 0.362399344707761 -0.310005635085016 -0.402343116071953 -0.349969065104336
"37" 0.363476115110242 -0.268834366910172 -0.353433476532168 -0.304645355106324
"38" 0.364552885512724 -0.230592275200359 -0.307692258846664 -0.262487409973833
"39" 0.365629655915205 -0.195279359561422 -0.265119463913465 -0.22348544254428
"40" 0.366706426317687 -0.162895619599205 -0.225715092630611 -0.187647480878038
"41" 0.367783196720169 -0.133441054919542 -0.18947914589612 -0.154961252502417
"42" 0.36885996712265 -0.10691566512828 -0.15641162460802 -0.125422273519032
"43" 0.369936737525132 -0.0833194498312586 -0.126512529664353 -0.0990231495359986
"44" 0.371013507927614 -0.0626524086506792 -0.099781861963136 -0.0757627102427598
"45" 0.372090278330095 -0.0449145414834917 -0.0762196224024023 -0.0556354384686699
"46" 0.373167048732577 -0.0301058484546478 -0.0558258118801834 -0.038619751205907
"47" 0.374243819135058 -0.0182263296959841 -0.0386004312944977 -0.0247163402151251
"48" 0.37532058953754 -0.00927598533934473 -0.024543481509177 -0.0139188791563782
"49" 0.376397359940022 -0.00325481551657272 -0.0136549630850494 -0.00620198354584645
"50" 0.377474130342503 -0.000162820359510374 -0.00593487642467833 -0.00157001223157849
"51" 0.378550900744985 0 -0.00138322192926754 0
"52" 0.379627671147467 -0.00276635456988719 0 -0.00148150679904191
"53" 0.380704441549948 -0.00846188420100946 -0.00178521103807611 -0.0060023429959486
"54" 0.38178121195243 -0.0170865890252158 -0.00673885544468256 -0.0135447390510564
"55" 0.382857982354912 -0.0286404691743421 -0.0148609336210152 -0.0240970323253613
"56" 0.383934752757393 -0.0431235247802396 -0.0261514459682621 -0.0376461821144041
"57" 0.385011523159875 -0.0605357559747472 -0.0406103928876239 -0.0541660169605009
"58" 0.386088293562356 -0.0808771628956799 -0.0582377747802846 -0.0736443519010734
"59" 0.387165063964838 -0.104147745878272 -0.0790335920474462 -0.0960597590868559
"60" 0.38824183436732 -0.130347505495683 -0.102997845090292 -0.121403250390546
"61" 0.389318604769801 -0.159476442335218 -0.130130534310024 -0.149648906960262
"62" 0.390395375172283 -0.191534556984191 -0.160431660107829 -0.180773469959604
"63" 0.391472145574765 -0.226521850029925 -0.193901222884893 -0.214759946140081
"64" 0.392548915977246 -0.264438322059725 -0.23053922304243 -0.251586489272245
"65" 0.393625686379728 -0.305283973660913 -0.270345660981609 -0.291234067903378
"66" 0.394702456782209 -0.349058805420801 -0.313320537103633 -0.333674485802991
"67" 0.395779227184691 -0.395762817926703 -0.359463851798942 -0.378895437027303
"68" 0.396855997587173 -0.44539601176593 -0.408775605136013 -0.426862096962473
"69" 0.397932767989654 -0.497958387525805 -0.461255796813583 -0.477554599559483
"70" 0.399009538392136 -0.553449945793642 -0.516904426510014 -0.530952882234164
